Timestamp,MTGO Username,Wins,Losses,Games Played
8/30/2016 19:03:43,lunser,0,1,1
8/30/2016 19:19:01,lordzombie,1,4,5
8/30/2016 19:21:12,lsmguys,2,0,2
8/30/2016 19:38:11,ByakuyaTheTroll,1,0,1
8/30/2016 21:09:04,kdrakari,0,0,0
8/30/2016 23:03:24,Dragonas77,2,3,5
8/30/2016 23:10:40,NimbleThroatPunch,0,0,0
8/31/2016 0:25:34,Pear-Banter,3,2,5
8/31/2016 0:46:10,endidymion,2,3,5
8/31/2016 0:55:31,Kiritomato,1,1,2
8/31/2016 1:15:23,SXEatPSU,1,1,2
8/31/2016 1:26:33,j_meka,3,2,5
8/31/2016 1:28:09,crazybaloth,1,4,5
8/31/2016 1:31:13,WardenWizard,0,0,0
8/31/2016 2:08:25,WHAMwich,2,2,4
8/31/2016 2:17:34,fuha,0,0,0
8/31/2016 2:20:59,silasary,1,4,5
8/31/2016 5:05:58,swahili,0,1,1
8/31/2016 5:57:53,Pseudodude,5,0,5
8/31/2016 7:44:03,TheGentGamer,2,1,3
8/31/2016 16:16:07,The4D6plus3,0,0,0
8/31/2016 19:38:04,TacoFarmer,4,1,5
8/31/2016 22:37:49,pear-banter,1,3,4
8/31/2016 23:18:40,SnoreMonster,1,1,2
8/31/2016 23:45:28,j_meka,4,1,5
9/1/2016 0:34:16,crazybaloth,2,3,5
9/1/2016 10:45:34,Playgrop,0,0,0
9/1/2016 16:22:07,Dragonas77,1,4,5
9/2/2016 16:37:31,Alandorf,3,2,5
9/2/2016 17:08:02,wappla,2,0,2
9/3/2016 1:47:12,endidymion,2,3,5
9/3/2016 2:50:24,drcameron,2,2,4
9/3/2016 16:03:18,BlackHellkite,2,0,2
9/3/2016 22:14:39,crazybaloth,3,2,5
9/3/2016 23:29:57,Dragonas77,3,2,5
9/4/2016 1:38:52,endidymion,3,2,5
9/4/2016 13:08:31,mz151,0,0,0
9/4/2016 13:32:32,Redsquare,0,0,0
9/5/2016 0:13:17,Yuanakil,0,1,1
9/5/2016 1:43:59,ProstheticConscience,3,2,5
9/5/2016 16:27:09,sean_connery,0,0,0
9/5/2016 18:20:19,Cutare,0,0,0
9/5/2016 20:05:01,CONSUME_THE_NOODLE,3,2,5
9/6/2016 1:00:24,Mmurphy123091,2,3,5
9/6/2016 1:10:28,Dragonas77,0,0,0
9/6/2016 13:24:24,Kalabalik,3,2,5
9/6/2016 20:36:30,endidymion,1,4,5
9/6/2016 20:52:31,Mmurphy123091,4,1,5
9/6/2016 21:23:08,TacoFarmer,1,1,2
9/6/2016 23:38:15,Yuanakil,0,1,1
9/7/2016 17:30:51,fearlesshero27,0,1,1
9/7/2016 21:30:08,Alandorf,5,0,5
9/8/2016 17:47:29,BobtheBalder,1,0,1
9/8/2016 20:03:35,BoSheck,2,3,5
9/8/2016 21:49:36,Dragonas77,0,5,5
9/8/2016 21:52:30,LoveHandler,2,3,5
9/8/2016 23:54:56,Dakotarino,0,0,0
9/9/2016 21:54:13,BlackLotusT1,3,2,5
9/9/2016 22:47:03,L00tZombie,0,2,2
9/10/2016 10:36:44,BoSheck,0,1,1
9/10/2016 16:57:20,Yuri7,2,3,5
9/10/2016 17:56:32,SBlue3,0,1,1
9/10/2016 19:57:05,Aldreen,2,2,4
9/10/2016 20:19:24,crazybaloth,2,3,5
9/11/2016 6:56:45,Shantu,2,2,4
9/11/2016 17:51:24,srfernsd,1,0,1
9/12/2016 18:03:36,Noaya,0,0,0
9/13/2016 18:00:35,Dragonas77,2,3,5
9/13/2016 18:42:25,endidymion,3,2,5
9/14/2016 0:16:52,Coupe_McCoy,1,0,1
9/14/2016 17:05:58,Kylorin,0,0,0
9/15/2016 1:34:16,j_meka,1,4,5
9/15/2016 11:40:00,L00tZombie,0,2,2
9/15/2016 21:38:38,gabbalis,0,2,2
9/16/2016 9:45:39,swahili,4,1,5
9/16/2016 10:02:30,bakert99,3,2,5
9/16/2016 10:35:59,endidymion,3,2,5
9/16/2016 22:30:40,Kazaxat,2,3,5
9/18/2016 8:50:18,swahili,0,1,1
9/18/2016 10:35:22,Pseudodude,4,0,4
9/19/2016 8:48:44,swahili,0,1,1
9/19/2016 10:50:05,DarkConfidant06,0,2,2
9/19/2016 12:51:19,bakert99,2,3,5
9/19/2016 16:49:14,Kazaxat,4,1,5
9/21/2016 19:22:17,swahili,2,3,5
9/22/2016 12:51:59,endidymion,1,0,1
9/23/2016 12:28:12,j_meka,0,1,1
9/23/2016 13:37:50,swahili,2,1,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,Total Completed:,40,
