Timestamp,MTGO Username,Decklist Name,Wins,Losses,Games Played,,
11/1/2016 7:42:06,Nate316,Slow Dragon,2,0,2,,Total Runs Completed:
11/1/2016 7:59:20,ModoSK,WB Exalted,0,0,0,,5
11/1/2016 11:43:47,MetalAtog,An act of Balance,0,1,1,,
11/1/2016 13:35:31,ash4459,Mostly-White Heroic,0,0,0,,
11/1/2016 16:10:18,Dragonas77,Odric Keywords,5,0,5,,
11/1/2016 16:54:07,crazybaloth,Jund Druid,3,2,5,,
11/1/2016 17:45:21,Alandorf,RDW23,0,1,1,,
11/1/2016 22:21:37,Commeradicore,Kor Blades,0,4,4,,
11/2/2016 1:20:07,Mmurphy123091,u/b control,1,1,2,,
11/2/2016 4:20:17,AsterVolpes,12-Rack,1,4,5,,
11/2/2016 23:07:30,AhabHix,Izzet Legal?,3,0,3,,
11/3/2016 2:54:27,endidymion,CivilOoze,3,0,3,,
11/3/2016 3:46:35,jackslagel,Best Control,1,1,2,,
11/3/2016 5:54:32,stash86,Grow Together v1,3,2,5,,
11/3/2016 17:36:32,sneakycheese,WU Slivers,0,1,1,,
11/4/2016 2:34:34,linguo,Prolinguerate,0,0,0,,
11/4/2016 2:52:19,sirdraxx,8post,0,0,0,,
11/4/2016 3:39:09,j_meka,Locket Storm v2,0,1,1,,
11/4/2016 4:02:43,AsterVolpes,8-Rack,0,5,5,,
11/4/2016 5:27:09,MrCello,Gate Control,0,1,1,,
11/4/2016 11:18:56,bakert99,Worldgorger Dragon Combo,1,1,2,,
11/4/2016 13:55:27,mfoster,"Sammy Davis, Jr.",0,0,0,,
11/4/2016 16:15:34,GITBNymph,Jund Nightmare,0,1,1,,
11/5/2016 3:07:34,stash86,Mono Green S3.1,1,0,1,,
11/5/2016 5:21:01,AsterVolpes,8-Rack V2,0,0,0,,
